region_name,suburb,postcode
Eastern Suburbs,Banksmeadow,2019
Eastern Suburbs,Beaconsfield,2015
Eastern Suburbs,Bellevue Hill,2023
Eastern Suburbs,Bondi,2026
Eastern Suburbs,Bondi Beach,2026
Eastern Suburbs,Bondi Junction,2022
Eastern Suburbs,Botany,2019
Eastern Suburbs,Bronte,2024
Eastern Suburbs,Centennial Park,2021
Eastern Suburbs,Chifley,2036
Eastern Suburbs,Clovelly,2031
Eastern Suburbs,Coogee,2034
Eastern Suburbs,Darling Point,2027
Eastern Suburbs,Darlinghurst,2010
Eastern Suburbs,Dover Heights,2030
Eastern Suburbs,Eastlakes,2018
Eastern Suburbs,Edgecliff,2027
Eastern Suburbs,Elizabeth Bay,2011
Eastern Suburbs,Kensington,2033
Eastern Suburbs,Kingsford,2032
Eastern Suburbs,La Perouse,2036
Eastern Suburbs,Little Bay,2036
Eastern Suburbs,Malabar,2036
Eastern Suburbs,Maroubra,2035
Eastern Suburbs,Mascot,2020
Eastern Suburbs,Matraville,2036
Eastern Suburbs,Moore Park,2021
Eastern Suburbs,Paddington,2021
Eastern Suburbs,Pagewood,2035
Eastern Suburbs,Potts Point,2011
Eastern Suburbs,Queens Park,2022
Eastern Suburbs,Randwick,2031
Eastern Suburbs,Rose Bay,2029
Eastern Suburbs,Rosebery,2018
Eastern Suburbs,Rushcutters Bay,2011
Eastern Suburbs,Surry Hills,2010
Eastern Suburbs,Tamarama,2026
Eastern Suburbs,Vaucluse,2030
Eastern Suburbs,Watsons Bay,2030
Eastern Suburbs,Woollahra,2025
Central Coast,Avoca Beach,2251
Central Coast,Bateau Bay,2261
Central Coast,Copacabana,2251
Central Coast,Erina,2250
Central Coast,Ettalong Beach,2257
Central Coast,Gosford,2250
Central Coast,Green Point,2251
Central Coast,Kariong,2250
Central Coast,Killcare,2257
Central Coast,Kincumber,2251
Central Coast,Lake Haven,2263
Central Coast,Lisarow,2250
Central Coast,MacMasters Beach,2251
Central Coast,Narara,2250
Central Coast,Norah Head,2263
Central Coast,Ourimbah,2258
Central Coast,Pearl Beach,2256
Central Coast,Shelly Beach,2261
Central Coast,Terrigal,2260
Central Coast,The Entrance,2261
Central Coast,Toukley,2263
Central Coast,Tumbi Umbi,2261
Central Coast,Tuggerah,2259
Central Coast,Umina Beach,2257
Central Coast,Woy Woy,2256
Central Coast,Wyong,2259
Inner West,Annandale,2038
Inner West,Ashfield,2131
Inner West,Balmain,2041
Inner West,Camperdown,2050
Inner West,Chiswick,2046
Inner West,Croydon,2132
Inner West,Croydon Park,2133
Inner West,Drummoyne,2047
Inner West,Dulwich Hill,2203
Inner West,Enmore,2042
Inner West,Erskineville,2043
Inner West,Five Dock,2046
Inner West,Glebe,2037
Inner West,Haberfield,2045
Inner West,Leichhardt,2040
Inner West,Lewisham,2049
Inner West,Lilyfield,2040
Inner West,Marrickville,2204
Inner West,Newtown,2042
Inner West,Petersham,2049
Inner West,Rodd Point,2046
Inner West,Rozelle,2039
Inner West,Russell Lea,2046
Inner West,St Peters,2044
Inner West,Stanmore,2048
Inner West,Summer Hill,2130
